"year","country","location","precipitation"
2007,"Nigeria","East Joseph",12.819061451772084
2012,"Sudan","Blackburnhaven",12.820314825370636
2014,"Yemen","South Devinstad",12.825547195853348
2022,"Bahamas","Port Carlafurt",12.83106724785359
2019,"Macao","South Robertmouth",12.832655265469397
2002,"Uganda","New Nicole",12.833154029497962
2013,"Cambodia","New Valerie",12.834566374713896
2009,"Pitcairn Islands","South Dana",12.839995911241742
2010,"Brunei Darussalam","Port Jasmine",12.84989816594264
2013,"Montserrat","Christinatown",12.853702548198063
2021,"Saint Kitts and Nevis","Lake Melanie",12.85838434116764
2020,"Nigeria","Lake Lisaport",12.85894655393599
2009,"Lithuania","Mayerborough",12.864200750549292
2008,"Djibouti","South Julie",12.871711961888188
2006,"Lebanon","Port Karen",12.884238084328691
2012,"French Polynesia","Harperfurt",12.890430515209871
2018,"United States Minor Outlying Islands","Port Anthony",12.893436784105871
2013,"Tonga","Tranfort",12.912884668689518
2022,"Sweden","Rodriguezshire",12.925199513079244
2017,"San Marino","Lake Robertmouth",12.96671506630458
2007,"Turks and Caicos Islands","South Jessica",12.969061700192086
2020,"Croatia","Lake Ericstad",12.976680869440871
2011,"Sweden","Hartmanfort",13.006701658391462
2014,"Estonia","Waltersfurt",13.024981783672583
2009,"Martinique","Lake Jacquelinechester",13.02511393039284
2013,"Belgium","East Laura",13.045378710558008
2017,"Papua New Guinea","New Melissa",13.048641008660544
2016,"North Macedonia","Lewisfurt",13.061548719852034
2014,"Liberia","Lake Theresabury",13.074743739704164
2012,"Panama","South Christopherland",13.076001878688082
2020,"Somalia","West Jessicastad",13.08737153194416
2019,"Senegal","Lake Lindsayville",13.090921644860954
2007,"Macao","Patriciaside",13.107159277730084
2004,"Sri Lanka","Thomasport",13.10934605001538
2013,"Georgia","Rebekahville",13.130307512815945
2012,"Grenada","Robinsonland",13.141406021877856
2000,"Uganda","South Amy",13.14612377863863
2017,"Monaco","Bradburgh",13.1490405275287
2003,"Tanzania","Port Melody",13.165915325249411
2007,"Yemen","Carlyville",13.169530574788924
2011,"Liberia","Nguyenborough",13.1696205226162
2020,"Guernsey","North Michelle",13.173839849613566
2013,"Azerbaijan","Lake Eric",13.195454851960708
2013,"Lithuania","Bennettside",13.201610504103623
2005,"Hungary","Brandiburgh",13.207434374652316
2007,"Singapore","South Nancychester",13.209605036011329
2005,"Ghana","South Joannabury",13.215431848144476
2014,"Samoa","Jenningstown",13.220334736803164
2021,"Sri Lanka","Kington",13.22599765644087
2013,"Uzbekistan","East Chadview",13.23391964394518
2015,"Antigua and Barbuda","Robertborough",13.246527538101429
2019,"Israel","Robertbury",13.253579337644217
2009,"Mongolia","Edwardsberg",13.255546583850908
2003,"Liechtenstein","Gregoryborough",13.26609112119035
2006,"Syrian Arab Republic","Taylorview",13.27984985584214
2000,"Panama","Alejandroside",13.280432615682235
2022,"Mauritania","West Michelle",13.284488363959811
2005,"Korea","West Gregory",13.289176789888169
2008,"Isle of Man","Port Theresafurt",13.30110169576405
2005,"Wallis and Futuna","Lake Sandraburgh",13.306601156813525
2015,"Guadeloupe","Cruzside",13.309571706778122
2021,"Finland","Port Jonathanside",13.311696847590182
2015,"Taiwan","Callahanside",13.32114561536103
2009,"Comoros","Newmanton",13.327489226477764
2016,"Liberia","Wadeborough",13.33131005272734
2019,"Zambia","West Ashley",13.33178214879559
2003,"Sudan","Robertfort",13.338071474953638
2019,"Kazakhstan","Margaretport",13.33860292238449
2007,"Liberia","Farmershire",13.340483075319852
2003,"Guam","Lake Anthonyhaven",13.346515663403425
2000,"Rwanda","Hughesville",13.36168293068376
2015,"Angola","Wandatown",13.37783217972347
2002,"Nicaragua","Vanessaview",13.382835709242148
2017,"Haiti","Patriciaport",13.387567219936416
2003,"Botswana","Port Robin",13.387857590932972
2020,"Qatar","North Michael",13.392682672599054
2020,"Saint Vincent and the Grenadines","Matthewside",13.393755343330316
2011,"Belgium","Savannahland",13.399088125741422
2020,"Martinique","Port Christopherhaven",13.401761787635868
2001,"Portugal","South Michaelmouth",13.428918233687682
2013,"Benin","South Markborough",13.430819249230986
2002,"Tokelau","Tannershire",13.447629058426124
2018,"Thailand","Lake Donna",13.448137182320972
2004,"Belize","Hernandezview",13.457277739165164
2020,"China","Davisbury",13.463211291425548
2019,"Samoa","Dianaport",13.481092704341169
2003,"San Marino","Port Brenda",13.481394543287715
2001,"Pakistan","Jonathanland",13.499063094219888
2021,"Israel","New Pamelamouth",13.503158424085726
2016,"Turkey","Lake Angelica",13.509977366063964
2011,"Tanzania","Port Jamesland",13.512057497982354
2003,"Angola","West Kayla",13.527418324629748
2013,"British Indian Ocean Territory (Chagos Archipelago)","Lake Davidchester",13.529294611975397
2018,"Sweden","Josephstad",13.550781849307391
2013,"Kyrgyz Republic","North Geraldburgh",13.558050769072238
2005,"Solomon Islands","Delgadoton",13.559037049862166
2019,"Myanmar","South Kimberlyview",13.570233710399505
2015,"Myanmar","Deleonfort",13.579829141767409
2005,"Dominican Republic","South Angelaburgh",13.58916210923663
2001,"Singapore","Duranfort",13.646148747910091
2022,"Angola","Cantuview",13.65756613290101
2004,"Bangladesh","Collinschester",13.658200299248268
2022,"Cape Verde","Port Matthewbury",13.66751153752357
2008,"Luxembourg","Lake Ronald",13.674837643025253
2019,"Guernsey","Kimtown",13.675954513475052
2009,"Samoa","South Philip",13.681792059389164
2005,"Algeria","Jesusmouth",13.684343786302389
2017,"Christmas Island","Hessmouth",13.689150421803696
2001,"Saint Lucia","East Susanfurt",13.696457085873526
2004,"Guinea","Amyshire",13.70224641499146
2003,"Austria","Williamshaven",13.712184411812755
2014,"Somalia","New Shelleyton",13.722565856762516
2013,"Zimbabwe","Port Lisaberg",13.731823622276185
2015,"Israel","South Michael",13.731927506681096
2006,"Namibia","Tylertown",13.739831399656657
2008,"Liechtenstein","Tylerfurt",13.742983217351837
2014,"Mozambique","East Davidborough",13.78141820983001
2014,"Mongolia","Castillotown",13.78623283954903
2005,"Mexico","Smithview",13.801669157274866
2004,"Algeria","Lake Maryland",13.805861987853753
2013,"Italy","Deanburgh",13.811951454272196
2005,"Pakistan","East Jessica",13.824412584236368
2000,"Latvia","New Williamtown",13.835236935170093
2019,"Malaysia","Perezville",13.837393392550378
2019,"Madagascar","Daleport",13.837980695450568
2005,"Bulgaria","Jonesbury",13.850992940689167
2014,"Jordan","West Katherineton",13.852321961811333
2020,"Gambia","New Josephstad",13.85890493838653
2010,"Uruguay","Caitlinberg",13.871915509496423
2014,"Libyan Arab Jamahiriya","East Michaelstad",13.872676474078103
2021,"Burkina Faso","New Justinmouth",13.877733797742852
2001,"Morocco","Mercadostad",13.892600062402172
2010,"China","West Samuel",13.893762922997654
2010,"Faroe Islands","Lake Jasminchester",13.911246296215074
2020,"Moldova","West Ravenland",13.929376804537952
2000,"Micronesia","Jonesshire",13.949780472582551
2010,"France","Leachfort",13.949789741774987
2005,"Gambia","Paulahaven",13.950769814932606
2013,"Armenia","East Marissa",13.958147833593026
2020,"Tonga","Chenstad",13.96761572969516
2021,"Reunion","Kristashire",13.986785738527118
2013,"Holy See (Vatican City State)","Robertstad",14.023161722635813
2006,"Central African Republic","Andersonton",14.02912188081773
2005,"Peru","Lake Ryan",14.07116848662734
2008,"Dominica","Lawsonberg",14.072558758776257
2016,"China","Lake Mallory",14.077287677290364
2014,"Mayotte","Isabellastad",14.077642302552515
2017,"French Polynesia","Hendersonburgh",14.1149382028113
2011,"Nicaragua","Jennifermouth",14.132349803878974
2022,"Isle of Man","Michellemouth",14.134290355445478
2001,"Mauritius","Patrickhaven",14.141372635440108
2004,"Gambia","New Jenna",14.1470778732116
2014,"Benin","Chapmanhaven",14.151878492307125
2007,"Sudan","Estesville",14.172569635681953
2004,"Sierra Leone","Pierceborough",14.1769396502609
2022,"Egypt","Port Carlos",14.179098129810964
2021,"Uruguay","Ronaldborough",14.19285033600316
2007,"Seychelles","East Kristen",14.205937675923664
2005,"Taiwan","New Brian",14.214517698857932
2007,"Georgia","Petersonview",14.214972623430311
2015,"Netherlands Antilles","Garciastad",14.216378075222725
2001,"Lesotho","Lake Wendy",14.233285655968231
2009,"Congo","Bethton",14.242320089454264
2009,"Marshall Islands","Lake Danielstad",14.247934183759458
2002,"Fiji","Reynoldsville",14.2710155838775
2000,"Gabon","Lynnborough",14.27199717897687
2001,"Colombia","Port Vanessa",14.27369549686357
2008,"Afghanistan","West Jennifershire",14.27640600577118
2022,"Anguilla","Lake Nathanfurt",14.281490366239511
2007,"Kuwait","New Keithburgh",14.283860640784184
2020,"Panama","West Kyleton",14.310112505920324
2012,"Seychelles","East Jillbury",14.314966090448944
2009,"Norway","Nicholasport",14.318776835083437
2019,"Jamaica","East Jeffshire",14.338575474858594
2021,"Iran","West Anthony",14.341261280702
2014,"Madagascar","Snyderview",14.345633958564408
2022,"Papua New Guinea","West Jeffreychester",14.35521329484899
2005,"Lebanon","Matthewsshire",14.359335349666246
2000,"Cocos (Keeling) Islands","Devinchester",14.361387877127996
2020,"Palau","Ericaview",14.368077144319724
2016,"Burkina Faso","Port Willieville",14.39208066158285
2010,"China","West Harry",14.392317231187956
2022,"Wallis and Futuna","Lake Chelsea",14.40473325742676
2014,"Australia","Jamesfort",14.408841512049795
2007,"New Caledonia","Gallegosburgh",14.412314785519598
2001,"Montenegro","Andersonville",14.423334052550906
2002,"Czech Republic","Aliciaburgh",14.428307862058109
2002,"Eritrea","Toddton",14.42924217370266
2011,"Malaysia","West Lisabury",14.43244579033881
2004,"Tunisia","East Jaredside",14.43281976032047
2020,"Senegal","South Annburgh",14.435168982929492
2020,"El Salvador","East Erikamouth",14.435748685448546
2011,"Barbados","Comptonmouth",14.483742561822034
2003,"Tunisia","East Thomas",14.491322065730197
2006,"Mauritius","Kellerton",14.497543553824489
2020,"Antigua and Barbuda","Wendyport",14.520908688920608
2017,"Latvia","Port Josephshire",14.540654746700143
2002,"Netherlands Antilles","East Kyle",14.5409772139239
2020,"Libyan Arab Jamahiriya","Melissaland",14.543894771335186
2002,"Turkmenistan","Reidville",14.558365448876476
2011,"Jordan","North Morganview",14.568591076213188
2002,"Sao Tome and Principe","Port Davidfurt",14.577409406942056
2015,"Brazil","New Natalie",14.585726641334697
2009,"Fiji","New Jeffrey",14.585937931970284
2003,"Peru","Jenniferview",14.607407820560317
2012,"Mauritius","New Victoriafurt",14.61623053801635
2001,"Djibouti","East Daniel",14.62713588499167
2014,"Equatorial Guinea","East Gerald",14.629971086857974
2014,"Peru","Elizabethfurt",14.645816463100791
2021,"Algeria","Haasshire",14.65362750366921
2014,"Gibraltar","Lake Margaret",14.674243773352948
2009,"Belgium","South Antoniohaven",14.678033731200802
2017,"Fiji","Angelaside",14.68649560847778
2005,"Congo","East Julianside",14.723070490060586
2000,"Zimbabwe","New Robert",14.725029771858733
2013,"Mexico","Mandyburgh",14.728774982157455
2018,"Hong Kong","Port Jacquelineview",14.731137596936415
2022,"Saint Pierre and Miquelon","South Sherri",14.737579751029871
2022,"Iraq","South Michaelburgh",14.749259519143344
2001,"Japan","Lake Nicholasshire",14.773069749733214
2012,"Syrian Arab Republic","Carolburgh",14.776066335135818
2013,"Lebanon","Port Christina",14.780119058349095
2007,"Ukraine","Tammybury",14.780634035836703
2018,"Mayotte","East Zachary",14.806025546872226
2011,"Azerbaijan","Cameronstad",14.8083998350934
2018,"Guatemala","West Drew",14.810911489813794
2003,"North Macedonia","Port Cindyberg",14.811889601170469
2004,"Heard Island and McDonald Islands","Josephfort",14.818423405043225
2016,"Guadeloupe","Ruthburgh",14.830052346584498
2011,"Saudi Arabia","East Reginatown",14.832897046668512
2016,"Italy","Romeromouth",14.838027141502586
2015,"Sri Lanka","Kimberlychester",14.844030332163973
2014,"Philippines","Port Zachary",14.85870384972885
2005,"Moldova","Warrenmouth",14.861058479710486
2015,"Norway","Millsbury",14.869141143807209
2007,"Mongolia","East Dennis",14.8766392296647
2003,"Faroe Islands","Nixonfurt",14.90369882483007
2016,"Ethiopia","South Brittany",14.903953260354442
2018,"Rwanda","Port Madison",14.905893058325026
2008,"Niue","South Heather",14.908937826155045
2001,"Tuvalu","North Kristiview",14.91143508746554
2009,"Lesotho","East Heathermouth",14.91758179525583
2015,"Nicaragua","Watkinsport",14.919044383619672
2010,"Cayman Islands","Port Annville",14.923422941828711
2001,"Nicaragua","Johnsonchester",14.928495119131524
2016,"Cameroon","Lake Rebeccamouth",14.957891689220135
2017,"Japan","East Ashley",14.96023576312413
2018,"Bosnia and Herzegovina","West Daisy",15.023320308041631
2021,"Pitcairn Islands","West Mariahshire",15.023416588244686
2007,"French Guiana","Ivanland",15.028889780513378
2013,"Honduras","North Katherine",15.033709494182968
2002,"Dominica","South Michael",15.069567811688144
2018,"Belize","Port Craig",15.079266295335913
2005,"Central African Republic","Port Donna",15.080775983175451
2022,"Iraq","East Michaelborough",15.085163751444863
2004,"Slovakia (Slovak Republic)","Steelefurt",15.09585142241434
2011,"Saint Barthelemy","Tracyshire",15.106410742638865
2006,"Uzbekistan","Lake Brianhaven",15.11788425204571
2004,"Haiti","East Rickyberg",15.127694813131864
2008,"Guam","Florestown",15.13524517496384
2022,"Austria","West Sean",15.151555837201393
2016,"British Indian Ocean Territory (Chagos Archipelago)","South Mark",15.155403155970747
2008,"France","Ramosbury",15.164380083895212
2018,"Bahrain","Keithbury",15.169904846062698
2002,"Luxembourg","West Paul",15.178704640787757
2016,"Mali","Nielsenborough",15.18098497970809
2011,"Holy See (Vatican City State)","Kimberlyland",15.208025249926315
2015,"Maldives","New Denisebury",15.225577660300216
2007,"British Virgin Islands","Matthewmouth",15.226856822619494
2001,"Costa Rica","Lake Sydneymouth",15.242893647302246
2000,"Ecuador","Gordonport",15.245285511302477
2007,"Syrian Arab Republic","West Leslieshire",15.245905805119786
2015,"Saint Martin","North Jeffton",15.262950770756788
2001,"Cayman Islands","Lake Kevin",15.263932938374724
2011,"Israel","Gloverton",15.267132779082903
2015,"Malaysia","Lake Ryan",15.273620269889332
2015,"Myanmar","East Sandrachester",15.278530984653749
2015,"Yemen","Jordanburgh",15.28102232276468
2001,"Thailand","Francisbury",15.283610804817547
2019,"Thailand","Meltonport",15.28517214614915
2013,"Ecuador","Reeseshire",15.289932008672524
2009,"American Samoa","Shawnaport",15.314592475314226
2009,"Namibia","Petersonton",15.324871089957792
2014,"Malawi","Smithberg",15.327008306973324
2014,"Guinea-Bissau","Clarkshire",15.340449640000465
2000,"Chad","North Thomas",15.351582928470986
2013,"Gibraltar","Chavezchester",15.354248562036798
2008,"Fiji","New Chad",15.35848459249084
2006,"Myanmar","East Richardton",15.369069027596872
2001,"Taiwan","Port Davidside",15.391418732023451
2017,"Ecuador","New Bryan",15.395152884609276
2001,"French Guiana","East Andrew",15.406950259220498
2008,"Paraguay","Scottfort",15.406961411623566
2010,"Mexico","Martinezview",15.42228060655122
2018,"Philippines","West Michaelfurt",15.46301100321541
2013,"Swaziland","Vincentberg",15.46648756381953
2005,"Belize","West Natalieland",15.466600181447989
2005,"Greenland","Lake Matthew",15.474672362772155
2014,"Mongolia","Lisastad",15.498782923273737
2019,"Sao Tome and Principe","Whiteborough",15.511039988759643
2016,"Tunisia","North Timothy",15.512082702634778
2000,"Libyan Arab Jamahiriya","Zacharyborough",15.512609183989568
2008,"Uzbekistan","Michellemouth",15.512629147887855
2005,"Tajikistan","Michaelbury",15.539877408524603
2002,"British Virgin Islands","North Hollyview",15.564637447259988
2016,"Seychelles","East Emilyshire",15.570906439069976
2014,"Chad","East Kaitlinland",15.574839205498812
2005,"Yemen","Sarachester",15.588740902320051
2009,"Armenia","Johnsonhaven",15.591050238689796
2017,"Niue","Jeffburgh",15.593201931566616
2004,"Qatar","Jonestown",15.593831755341991
2003,"Equatorial Guinea","Port Diane",15.603772146134098
2019,"Vietnam","Byrdstad",15.621422137873964
2010,"Estonia","West Meganland",15.632372365613566
2016,"Aruba","Nancymouth",15.642658950075749
2022,"Holy See (Vatican City State)","New Garyside",15.65170846812185
2011,"Egypt","Tonyabury",15.658227753576837
2022,"Palestinian Territory","West Ryan",15.65930512371826
2006,"Sao Tome and Principe","North Richardton",15.701283892117257
2018,"Bangladesh","Shirleyville",15.720838134217828
2006,"Saint Pierre and Miquelon","Raymondburgh",15.723043449971296
2003,"United States Virgin Islands","Port Carrieberg",15.76266313453093
2002,"Jordan","Lake Randall",15.77372657871885
2007,"Macao","Sharonport",15.79676753890591
2022,"Syrian Arab Republic","Janetstad",15.801325107446928
2006,"Cocos (Keeling) Islands","Lynchbury",15.802847652853902
2012,"India","Port Tonyamouth",15.817714405242366
2016,"Guatemala","Coxton",15.8250076717258
2019,"Antarctica (the territory South of 60 deg S)","Lake Debrafort",15.8312581768009
2009,"United States Minor Outlying Islands","New Rebeccaside",15.84698428778648
2022,"Kenya","Spencerchester",15.848589846289796
2021,"Tuvalu","Ruizchester",15.85506678973977
2016,"Pakistan","New Julieton",15.89269686607453
2015,"Panama","Allisonport",15.898186676629075
2020,"Cook Islands","West Juliaside",15.899771012127928
2021,"Saint Barthelemy","Port Yvette",15.9261858661901
2014,"Ethiopia","East Nathan",15.9311381821306
2009,"Congo","Lake Christopherborough",15.93283318537818
2020,"Norway","Vincentmouth",15.951695159169232
2004,"Finland","Careyhaven",15.954793043904017
2016,"Argentina","New Brianmouth",15.958613805318157
2003,"Tanzania","Jessebury",15.976932616568206
2015,"Liberia","West Michael",15.98634004678152
2008,"United Arab Emirates","Lake Deanna",15.989065983261074
2018,"Saint Vincent and the Grenadines","New Alyssastad",16.00898710075137
2014,"Aruba","New Nicolehaven",16.015264519170046
2021,"Maldives","East Joshua",16.018962603102736
2009,"Russian Federation","Keithtown",16.023127775384406
2001,"Bahamas","Lucerohaven",16.023381701559604
2000,"Yemen","South Jeffreyfort",16.03049224473727
2022,"Rwanda","Lake Patricialand",16.053779306229444
2009,"Turkmenistan","New Lindamouth",16.05565886682846
2000,"Saint Barthelemy","North Wesleybury",16.078454443417613
2009,"Bulgaria","Port Jeanetteburgh",16.081419710082724
2022,"Armenia","East David",16.081687266689592
2019,"Kyrgyz Republic","Harrisfurt",16.086032533173345
2013,"Belgium","Scottland",16.091825462816978
2020,"Gibraltar","Roblesfort",16.111847357444443
2022,"Anguilla","Jeremiahhaven",16.11630097415543
2017,"Ireland","South Stephen",16.120371477686078
2021,"British Indian Ocean Territory (Chagos Archipelago)","Theodoremouth",16.131438493748995
2020,"British Indian Ocean Territory (Chagos Archipelago)","Charlesborough",16.135334326109763
2002,"Andorra","South Lauraport",16.137557715233896
2019,"Saudi Arabia","Loganmouth",16.145632491784422
2008,"Cameroon","North Luis",16.1500242507967
2007,"Jordan","Samanthashire",16.1525231794318
2000,"South Georgia and the South Sandwich Islands","Josephmouth",16.15754742127251
2011,"Ireland","Chasehaven",16.19808984917125
2016,"Malaysia","East Kelly",16.20045238668315
2019,"Libyan Arab Jamahiriya","Lake Kelsey",16.20674156861056
2018,"French Polynesia","Villanuevabury",16.208769886907426
2021,"Hong Kong","North Joshuabury",16.217881001651925
2002,"Seychelles","Richardsonfurt",16.25452981615395
2001,"Guernsey","Whitemouth",16.255342379581805
2015,"Djibouti","Rachelfort",16.27961221488272
2013,"Czech Republic","South Tammy",16.282952817219464
2010,"Nepal","Port Allison",16.283546094405168
2020,"Hungary","Antonioland",16.28916691882294
2018,"China","Lake Jennifer",16.29209757955421
2015,"Bhutan","New Alexandratown",16.301634049308667
2021,"Cambodia","Stacyview",16.30494136483773
2017,"Saudi Arabia","Martinview",16.307865893962337
2019,"Peru","Thomasburgh",16.31199793925565
2006,"Central African Republic","Mendozaton",16.31461444381972
2013,"Romania","Port Valerie",16.32901078347605
2015,"Malaysia","Yatesview",16.365458204826332
2000,"Algeria","Cuevasfort",16.37736996174912
2014,"Ecuador","Ingramville",16.390506330124676
2004,"Timor-Leste","Lake Bradley",16.400764665468625
2020,"Sri Lanka","Robertport",16.409836701083236
2007,"Isle of Man","Andersonhaven",16.412475590498264
2009,"Thailand","Port Seanbury",16.431279600769855
2014,"Niue","East Ericmouth",16.43174490583408
2008,"Sierra Leone","West Alyssa",16.435615901271085
2017,"Bosnia and Herzegovina","East Aliciaview",16.452953407829753
2015,"Germany","East Michaelport",16.457946483971174
2021,"Bahrain","Lake Rita",16.458527908981768
2001,"Lesotho","Nixonville",16.465804008214356
2022,"American Samoa","Jamesview",16.465929226812882
2004,"Wallis and Futuna","West Jessicaport",16.489565590909983
2015,"Somalia","North Amyburgh",16.527518389194384
2013,"Latvia","East Christinemouth",16.53083372672075
2013,"Heard Island and McDonald Islands","Youngmouth",16.555965546767048
2011,"Swaziland","West Maryville",16.55958039260421
2012,"French Guiana","New Karenburgh",16.56310453193778
2013,"India","Evanport",16.569573574600092
2022,"Ecuador","Obrienberg",16.59736128198921
2010,"Slovenia","South Jacob",16.601883306115596
2014,"Australia","New Kirstenmouth",16.60251799240371
2009,"Uganda","New Marc",16.615212064777086
2014,"Isle of Man","South Kathyborough",16.621449298566827
2011,"Northern Mariana Islands","Bettyton",16.626099247886337
2008,"Indonesia","North David",16.635097775459183
2009,"Brazil","Lake Lisa",16.640916833394925
2011,"Romania","Robertsmouth",16.653072524356595
2003,"Jordan","Lake Michael",16.65461052670659
2006,"Andorra","Paulside",16.659761771713644
2020,"Rwanda","Halemouth",16.66982610742016
2020,"Cayman Islands","West Lukestad",16.67148412220236
2002,"Iceland","Terrimouth",16.671751578556425
2008,"Czech Republic","West Kelly",16.673647399499657
2016,"Samoa","Schwartzview",16.68157719238469
2004,"Philippines","Padillaborough",16.69348145470093
2020,"Christmas Island","North Edward",16.702794448413314
2013,"Sierra Leone","Jessicaburgh",16.709587871965216
2011,"Montenegro","Susanberg",16.720658927874588
2001,"Brunei Darussalam","Hessville",16.72302154394918
2015,"Libyan Arab Jamahiriya","Webbport",16.726866038731323
2019,"Ireland","Port Paulberg",16.732292136922432
2011,"Bolivia","Kristinchester",16.739987766087594
2003,"Cameroon","Lake Brianville",16.748640739301567
2000,"Estonia","Castilloview",16.776349266876355
2007,"Chad","Fosterberg",16.793534713812942
2009,"Rwanda","Delacruzside",16.83980109328268
2009,"Liberia","Burnsview",16.84952924973604
2010,"Samoa","South Williamhaven",16.85484369988287
2001,"Central African Republic","East Mark",16.86200279319745
2002,"Papua New Guinea","East Natalie",16.863249122143408
2016,"Albania","Patriciastad",16.867626966817884
2014,"Tokelau","North Joshua",16.8889526999371
2018,"South Africa","Ethanland",16.89063156714733
2015,"Bangladesh","Hunttown",16.902087603182604
2012,"Turks and Caicos Islands","East Debrafurt",16.903750127477824
2003,"Liechtenstein","Greenfort",16.910882111677793
2004,"Puerto Rico","Port Ritaport",16.911981749026282
2009,"Mexico","Emilyport",16.91272971785559
2010,"Iran","Conleyburgh",16.913936792539708
2014,"Fiji","Rojasmouth",16.918182000083558
2007,"Lithuania","New Austin",16.940148678024936
2003,"Slovenia","New Lisa",16.949749946668234
2001,"Libyan Arab Jamahiriya","New Savannahmouth",16.952865827395215
2018,"Turkmenistan","Dixonfurt",16.959312210985168
2018,"Ireland","East Steven",16.963773153239803
2022,"Cape Verde","Port Colleen",16.967113248019228
2009,"Solomon Islands","Jessicatown",16.973027167550512
2003,"Argentina","East Luisberg",17.016151129991076
2006,"Oman","East Vanessatown",17.0240068425059
2019,"Cook Islands","North Sandraberg",17.02842850707912
2005,"Aruba","Davidhaven",17.044812852019888
2005,"Cote d'Ivoire","Jamesmouth",17.046984049391277
2015,"Vietnam","South Kelly",17.058925640533996
2015,"Cape Verde","Danielland",17.07131120441997
2006,"Germany","Port Johnville",17.07345491995461
2015,"Morocco","Denisefort",17.081942853072572
2001,"United Arab Emirates","Lake Jasonberg",17.087370782098322
2009,"Malaysia","Lake Brandonstad",17.091722469701242
2016,"Cayman Islands","Jenniferfort",17.110241132335958
2001,"Turkey","Armstrongfurt",17.120642536310303
2020,"Paraguay","West Joel",17.145157655335908
2017,"Sierra Leone","Johnnyland",17.147408481865313
2016,"Micronesia","Greerfurt",17.161288766748818
2001,"Iceland","Guyside",17.16779045566884
2015,"Hungary","Lake Xaviermouth",17.199683794737595
2003,"Monaco","Jacobsbury",17.216550587048594
2006,"Monaco","New Michael",17.22422044217837
2019,"Faroe Islands","Sanchezfort",17.259577740219157
2010,"Venezuela","East Kelseystad",17.260076406814818
2017,"United States Minor Outlying Islands","North Joshuaborough",17.264819508325335
2016,"Burundi","West Jamie",17.29100603876401
2016,"Saint Martin","Port Kellymouth",17.293018396456404
2013,"Palau","Kevinton",17.35795225350929
2017,"Luxembourg","West Sharonburgh",17.358294422156295
2013,"Cambodia","Trujillomouth",17.378352521925734
2001,"Liberia","Lake Gregory",17.381078675458582
2015,"Senegal","New Paul",17.386989677170707
2016,"Guinea","Jackmouth",17.397281242144658
2019,"Iran","Lake Robert",17.403777171744018
2014,"Canada","West Shelbyborough",17.404933094174822
2008,"Mozambique","Leechester",17.42055095539178
2006,"Albania","West Andrew",17.426524370909146
2007,"Comoros","Allenborough",17.44234731324328
2018,"Tanzania","Ashleymouth",17.44258958910495
2002,"Eritrea","Tammyport",17.449671168719995
2015,"Seychelles","New Michellefurt",17.457688736940614
2010,"Angola","West Timothy",17.481164387194347
2018,"Rwanda","Richardshire",17.48304805197097
2009,"Jamaica","Port Joshua",17.488458423397656
2005,"Bahamas","Garzaville",17.48911488711161
2019,"Heard Island and McDonald Islands","Phillipsborough",17.492359881923935
2017,"Martinique","Fitzpatrickshire",17.49544797056075
2019,"Mali","East Thomasbury",17.497153474496287
2002,"Palestinian Territory","North Ashley",17.499228633790164
2007,"United States Virgin Islands","Woodburgh",17.512587545595814
2013,"United States Virgin Islands","North Matthew",17.52899047574965
2014,"Northern Mariana Islands","Floresborough",17.5325919189927
2021,"Morocco","West Amychester",17.53838315011268
2016,"Svalbard & Jan Mayen Islands","Port Jessica",17.54175554035967
2009,"Qatar","West Samuel",17.5432499750776
2006,"Czech Republic","West Shawn",17.560020528243314
2000,"Lebanon","Jennaview",17.560105585364983
2004,"New Zealand","South Joel",17.569631594365998
2007,"Bahrain","New Daniel",17.588789903029557
2003,"Canada","Edwardfort",17.61153487928938
2018,"Tokelau","North Jasminemouth",17.617252013052298
2022,"Bahrain","Lake Nancyfort",17.633013560235778
2007,"New Caledonia","North Anthonyburgh",17.63371211535272
2016,"Canada","West Meganhaven",17.648270244933794
2009,"Malawi","Grahamstad",17.648327691551913
2019,"Mauritius","New Biancafurt",17.649738896525548
2004,"Montenegro","New Sara",17.656233450495872
2008,"Korea","Foxhaven",17.674280023735523
2017,"Sweden","Brownberg",17.676272870450184
2003,"French Guiana","Lake Christineview",17.676626314687127
2017,"Mongolia","Port Rebecca",17.68153406816556
2014,"Mali","Marymouth",17.683866501090385
2018,"Hong Kong","Millermouth",17.684309135827792
2021,"Grenada","Lake Colleenfurt",17.694295114673274
2000,"Puerto Rico","Katherineport",17.697805286989677
2015,"Cuba","North James",17.712731267969428
2008,"United States Virgin Islands","West Emmaport",17.71514252470564
2003,"France","Lake Thomashaven",17.730689316994454
2008,"Marshall Islands","Port Richardmouth",17.733894814458782
2004,"Hong Kong","East Codyland",17.754846186135676
2018,"United Arab Emirates","New Manuelfort",17.7585340394527
2012,"Dominican Republic","South Carrieberg",17.762420336867045
2005,"Romania","Kennedyport",17.764526762736267
2017,"Equatorial Guinea","Boothside",17.7735371118665
2017,"Nepal","New Carrie",17.78420766894856
2008,"Bermuda","Lynchfort",17.80447448582343
2009,"Fiji","East Davidfurt",17.82508655112388
2002,"Ukraine","Walkerberg",17.829087884520757
2006,"South Georgia and the South Sandwich Islands","New Carolinemouth",17.849621232415124
2012,"Congo","South Mariaville",17.877522511634968
2020,"Montenegro","Jasonfurt",17.889505857050214
2008,"Italy","Pattersonhaven",17.8927832656816
