"year","country","location","co2_emissions"
2001,"Liberia","Kellyside",354.0097098464108
2015,"Maldives","New Denisebury",354.0175042994067
2004,"Slovakia (Slovak Republic)","Whitneyside",354.0226238318323
2000,"Cape Verde","Sanchezton",354.0264894055738
2003,"Colombia","Port Tristanview",354.0821773799633
2010,"Bahamas","Port Juliemouth",354.1034699189354
2002,"New Caledonia","Leslieside",354.10862463053144
2006,"Luxembourg","Allenfort",354.11221912474576
2001,"Armenia","New Courtneyborough",354.1210597782262
2022,"Micronesia","Richmondburgh",354.13561071373647
2007,"Burundi","Pattonshire",354.16285440350254
2012,"Kiribati","Milesshire",354.21300330031744
2015,"Samoa","Barnesberg",354.21619164901955
2011,"Albania","Mooremouth",354.2322913160635
2007,"American Samoa","Williamborough",354.2795229082356
2019,"Austria","North Michael",354.2861756332801
2002,"Bhutan","Andrewbury",354.2997660865387
2016,"Albania","Lauraton",354.3592789487065
2019,"Azerbaijan","Rachaelberg",354.3604020326982
2008,"Tonga","North William",354.3767787953289
2000,"United States of America","Garciatown",354.39046690733073
2011,"South Africa","New Donnafurt",354.3968480395216
2001,"Sri Lanka","New Ambermouth",354.4039411020895
2014,"Algeria","West Laurenstad",354.4091516142309
2003,"Guatemala","Jessicatown",354.42045407449444
2001,"Liberia","Lake Gregory",354.4484088683845
2015,"Swaziland","Hugheshaven",354.47686854652056
2017,"Aruba","South Marissatown",354.51361661546514
2012,"Czech Republic","North Ashleytown",354.5214492820402
2000,"Slovenia","Port Austinchester",354.5349525451341
2013,"Brazil","Port Latashatown",354.5394679965468
2019,"Mongolia","East Matthew",354.5633692737354
2002,"Bolivia","South Derekborough",354.5768530560018
2009,"French Guiana","Diazchester",354.5771611409808
2007,"Rwanda","North Robert",354.5783048697307
2011,"Namibia","Duncanhaven",354.6166092025446
2001,"Antarctica (the territory South of 60 deg S)","North Renee",354.6411459997998
2010,"Mexico","Martinezview",354.6675192478104
2012,"Sudan","Jimenezburgh",354.6708019750557
2015,"Saint Lucia","South Timothyburgh",354.6899836507123
2015,"Switzerland","Trujillostad",354.6986523535959
2022,"Pitcairn Islands","Kaylahaven",354.71305957127083
2013,"Guinea","Lake Lindaport",354.7216463439111
2000,"Turkmenistan","Francishaven",354.721700643185
2020,"Montserrat","Mcbridechester",354.7615633789724
2022,"Greece","Lake Michelle",354.7704330055
2007,"Antarctica (the territory South of 60 deg S)","Port Christopher",354.7981005972045
2017,"Niue","Port Colefort",354.81078298992344
2015,"Romania","New George",354.8269138903665
2013,"Bolivia","Donaldfort",354.8585076793137
2007,"India","North Laurieside",354.9016978756566
2001,"Norfolk Island","East Michele",354.9104425156069
2008,"Korea","North Josephshire",354.9357568004911
2019,"Namibia","Smithland",354.965723259258
2012,"Switzerland","Jenniferville",354.9680471714426
2017,"Micronesia","West Reginald",354.9947045830066
2009,"Cook Islands","Lake Peterborough",355.00232433258986
2002,"Hong Kong","Lake Kellyport",355.0388348439859
2019,"Grenada","East Richard",355.04841639359813
2004,"Hungary","North Shane",355.1014710527916
2002,"Estonia","Loganton",355.14383231249474
2005,"Falkland Islands (Malvinas)","East Nicolefort",355.1449005621543
2010,"Guam","Simmonsside",355.14527622251416
2022,"Colombia","Matthewville",355.1862587732799
2018,"Cote d'Ivoire","Alishaside",355.1870657056303
2003,"New Caledonia","North Bonniebury",355.2050734469783
2016,"Rwanda","Kennedyview",355.2402682956757
2006,"Zambia","Martinfurt",355.2632401891428
2020,"Israel","Samanthafurt",355.2647046243633
2022,"Argentina","Stephanieport",355.2853636002859
2020,"Poland","North Christian",355.2952068289238
2016,"Cambodia","Paulfurt",355.3100539357947
2014,"Botswana","Valenciaburgh",355.3111859662935
2003,"Norway","West Valerie",355.35443160870955
2008,"Liechtenstein","Lake Bradley",355.3889826446213
2005,"Portugal","Nelsonland",355.4463942364381
2000,"Libyan Arab Jamahiriya","East Megan",355.4721491352715
2013,"Zimbabwe","Margaretburgh",355.47230660657243
2007,"United States of America","East Nicole",355.49706399557664
2004,"Tonga","Jeffshire",355.5157034825092
2021,"Maldives","South Franklin",355.522577587291
2007,"Namibia","Lake Kyle",355.52409169551606
2016,"Brunei Darussalam","Earlville",355.5441787260762
2015,"Norfolk Island","Changberg",355.60960611225414
2020,"Mozambique","Lake Katelyn",355.6101699039174
2003,"Switzerland","West Jennifer",355.6200824207661
2016,"Isle of Man","Kathleenborough",355.6364414485411
2015,"Ecuador","Port Victoriashire",355.6400519052438
2013,"Ghana","Linstad",355.6653147676973
2011,"France","Lake Daniel",355.6917973912448
2005,"Pakistan","Port Jeffrey",355.71571914342445
2005,"Kyrgyz Republic","West Michael",355.7188777008492
2016,"Togo","Jeremyburgh",355.7296170927727
2001,"Kiribati","Cookstad",355.731719463987
2017,"Belarus","North Sarahfurt",355.74481112002485
2014,"Christmas Island","East Deborahmouth",355.74807776238566
2017,"China","Port Amber",355.7771034227775
2012,"Albania","West Glennfurt",355.80025771747427
2010,"Thailand","East Elainehaven",355.8204611419501
2011,"Suriname","North Nataliemouth",355.8258745276264
2019,"Antarctica (the territory South of 60 deg S)","Lake Debrafort",355.836821421658
2017,"Mauritius","North Dawn",355.8755078218297
2008,"Israel","Lindsaymouth",355.9226725338557
2019,"Moldova","New Christina",355.93510638826314
2006,"Madagascar","West Ericaside",355.94764040428544
2003,"Estonia","Cruzville",356.0006229825261
2021,"French Guiana","Lynnville",356.01518569473416
2010,"Ireland","North Amybury",356.028261630811
2020,"Ghana","Gutierreztown",356.0564975532967
2006,"Puerto Rico","South Wesleyland",356.06830478663574
2010,"Poland","New Amandashire",356.10207627494253
2013,"Liechtenstein","East Kimberly",356.11046824673696
2003,"Bolivia","Nancyview",356.1211818842433
2004,"Chad","New Lauraborough",356.14053533616
2003,"Cocos (Keeling) Islands","Butlerfort",356.1842930074992
2018,"Denmark","Shawport",356.1996128204988
2015,"Jersey","East Alexischester",356.202548365102
2017,"Morocco","East Brian",356.2139123496058
2022,"Greenland","Jasminemouth",356.21453419131353
2020,"Iraq","Lake Christophershire",356.2267490220156
2003,"Ireland","Kaylatown",356.2338569851745
2005,"Oman","New John",356.2430517440337
2009,"Bosnia and Herzegovina","North David",356.26964656072107
2002,"Burundi","Thorntonchester",356.2776683217149
2010,"Latvia","Jerryton",356.3056240988521
2005,"Switzerland","South Darin",356.3180128388776
2021,"Malawi","North Crystal",356.3572402911699
2009,"New Caledonia","Suzannemouth",356.3858754354367
2018,"Andorra","Lake Timothyside",356.42353998241555
2003,"Ecuador","Lake Ralph",356.42942590066974
2020,"Greenland","New Connieton",356.43332556790904
2000,"Bosnia and Herzegovina","Vaughnbury",356.4540090700076
2018,"Kyrgyz Republic","West Nancyhaven",356.45648459362934
2013,"Uzbekistan","East Bonniemouth",356.467081682719
2015,"Seychelles","New Michellefurt",356.47018622999883
2022,"Northern Mariana Islands","Lake Leslieborough",356.4905042177287
2014,"Slovenia","Darrellmouth",356.54001833042616
2016,"Puerto Rico","Port Patty",356.5678422619965
2009,"Honduras","New Brendaview",356.57072498072614
2013,"Bhutan","West Jennifer",356.6242910494198
2010,"French Polynesia","Port Michael",356.62612848744925
2005,"Heard Island and McDonald Islands","New Joseph",356.6564273708267
2017,"Saint Helena","Port Christinatown",356.69279685398345
2013,"Gibraltar","Chavezchester",356.6988151932441
2014,"Bosnia and Herzegovina","Smithfurt",356.7418175310821
2000,"Heard Island and McDonald Islands","Anthonychester",356.76394418256183
2011,"Cook Islands","South Gail",356.7926627959484
2004,"Finland","Victoriatown",356.8012941149491
2010,"Georgia","Lawrencestad",356.8052550744958
2015,"Bermuda","Crossland",356.8240285050576
2002,"Montenegro","Dennisland",356.84805694787246
2015,"Pakistan","Atkinsfurt",356.8497938439912
2003,"Myanmar","Matthewstown",356.8757481091608
2001,"Philippines","East Catherinestad",356.878188782062
2020,"American Samoa","Hollystad",356.8921892831007
2019,"Mali","East Thomasbury",356.90754189660856
2011,"Mozambique","Richardshire",356.9283991116586
2007,"Cambodia","Danielstad",356.9371987228035
2021,"Cape Verde","Lake Nicholas",357.00801679586544
2022,"French Southern Territories","North John",357.01061773581466
2011,"Jamaica","Juliafurt",357.0243059634061
2016,"Jersey","Jefftown",357.0417753409174
2013,"Sri Lanka","South Carlville",357.06030544909515
2016,"Canada","Barronborough",357.0627440836629
2009,"Netherlands Antilles","North Lisachester",357.0679818201169
2018,"Costa Rica","West Robertmouth",357.09988422612884
2021,"Zimbabwe","South Jenniferfort",357.10150487044893
2006,"Switzerland","North Patrickshire",357.1056071430101
2006,"Albania","West Andrew",357.1106159757158
2010,"Syrian Arab Republic","Port Christinaview",357.1124219034433
2012,"Maldives","West Steven",357.1930989962816
2015,"Romania","New Sandra",357.1975940521544
2017,"South Africa","Silvaburgh",357.266465961301
2020,"British Virgin Islands","West Clinton",357.28417749631365
2007,"Philippines","Hardytown",357.30957401899093
2018,"Sri Lanka","Stephenshire",357.3138413890654
2001,"Bangladesh","East Jordan",357.3182789231872
2003,"Jamaica","North Julie",357.3326192421936
2022,"Lithuania","Rodriguezstad",357.3369640872188
2018,"Belarus","Jamiestad",357.3809135915185
2004,"Macao","Reynoldsville",357.3878722887998
2020,"Mali","North Danielton",357.4728102229742
2002,"Estonia","North Stephen",357.4828975561994
2022,"Russian Federation","Bowersfort",357.48461105206485
2000,"Algeria","Veronicabury",357.50590216883705
2014,"India","Jennifermouth",357.52063468469896
2013,"Samoa","Paulport",357.5545390245786
2004,"Hong Kong","Marcstad",357.5806232141223
2022,"Angola","New Angela",357.58381184991777
2004,"Niger","Taylorhaven",357.5873181599041
2004,"El Salvador","Shaffermouth",357.5950980686008
2021,"Sri Lanka","Kington",357.6136365223541
2002,"Greenland","Lake Heather",357.6406460739899
2013,"France","South Ashley",357.6533880973024
2014,"Georgia","West Elizabethmouth",357.6704663277299
2004,"Gabon","North Jacqueline",357.6999643820859
2016,"Canada","North Jackville",357.7311641242693
2011,"New Caledonia","South Josephview",357.7953348228652
2019,"Montenegro","Woodburgh",357.811650450062
2018,"Palestinian Territory","Donaldhaven",357.8261913542361
2006,"Panama","Robertbury",357.82682135937034
2002,"Italy","West Alexandra",357.8664657177067
2005,"Belize","West Natalieland",357.8744126831892
2017,"Burkina Faso","Bradleyton",357.8883809788137
2019,"Canada","New Jonathanstad",357.9124869816654
2009,"United States of America","North Larry",357.9427898785056
2003,"Rwanda","Christytown",357.94331330220115
2005,"Netherlands Antilles","Houseburgh",357.94393837354164
2012,"Nepal","Simmonsstad",357.9476103999387
2017,"Macao","Alisonfurt",357.9481308704748
2004,"Syrian Arab Republic","West Dustin",357.9481858353293
2022,"French Guiana","Alexisshire",357.95336541080115
2015,"Guinea-Bissau","Lake Joshua",357.9594787673828
2014,"Barbados","West Josephshire",358.0305063943232
2011,"Barbados","Randallfurt",358.04683135684854
2002,"Faroe Islands","South Philipbury",358.05514780218454
2004,"Denmark","East Gregory",358.05720112517673
2007,"Saint Helena","Lake Kathleenburgh",358.0785743250589
2015,"Chile","North Terristad",358.1201042639349
2015,"New Caledonia","Richardshire",358.1338995101755
2004,"Solomon Islands","East Douglasmouth",358.15649689856104
2000,"Algeria","East Brandonchester",358.16372812448526
2003,"Kyrgyz Republic","Beardview",358.18133541801706
2015,"Bolivia","Townsendtown",358.18459879023845
2021,"Gibraltar","Kentfurt",358.2118368765366
2016,"Nauru","Lake Marioborough",358.2208635799572
2005,"Romania","Kennedyport",358.2447666848656
2016,"United Arab Emirates","Jeremyborough",358.26943198863404
2013,"Cambodia","Trujillomouth",358.2988999768842
2015,"Saint Barthelemy","South Annfurt",358.35786536267847
2006,"Estonia","Bondburgh",358.36079110865313
2002,"Portugal","West Destiny",358.36654312064
2000,"Marshall Islands","Lorihaven",358.38757776132
2012,"Tonga","Solishaven",358.4031412331888
2019,"Falkland Islands (Malvinas)","Wigginsfurt",358.4442077858271
2007,"United Kingdom","Christensenfurt",358.4875280523339
2018,"Switzerland","West Brianborough",358.494619463481
2021,"Saint Martin","Martinezmouth",358.49552512057903
2006,"Cook Islands","West Kimberly",358.5206233091345
2015,"Bermuda","Lewishaven",358.5293626918464
2013,"Colombia","Lake Danielville",358.5431030546468
2010,"United States Virgin Islands","North Samanthaland",358.55855999501216
2017,"Oman","New Rebecca",358.5636480686802
2018,"Cape Verde","Port Danielle",358.5908288703241
2009,"Mozambique","Joshuatown",358.59781875405
2006,"North Macedonia","Andrewsside",358.59791496889034
2016,"Mongolia","Whitemouth",358.61253711364645
2002,"Equatorial Guinea","South Karenshire",358.6147528277812
2016,"Australia","Leslieburgh",358.6217643248014
2012,"Anguilla","Port Joshuaburgh",358.6277336716104
2010,"Montserrat","Michaelshire",358.6733904904383
2014,"Wallis and Futuna","Ericfurt",358.6867948246482
2000,"Qatar","New Dianeberg",358.73717098632494
2010,"Tanzania","Danielfurt",358.7417192749109
2010,"Iceland","East Ethantown",358.7527212036162
2019,"Latvia","Clementston",358.7862592585127
2018,"Barbados","Wilsonberg",358.8658334480907
2020,"Macao","Youngshire",358.86730342839354
2005,"Czech Republic","North Melanie",358.8782545950211
2010,"Bhutan","Jameschester",358.88066005390954
2009,"Gabon","East Christopherstad",358.8882913824934
2012,"Djibouti","Ronniefort",358.9125771103746
2016,"Canada","West Meganhaven",358.94442915230195
2022,"Kazakhstan","Blackburnside",358.9762347737732
2002,"United Arab Emirates","Hernandezberg",358.9768736791614
2014,"Maldives","East Wendy",358.9962668973984
2012,"Guinea-Bissau","Sergiostad",359.0165687599842
2020,"Bolivia","Martinezstad",359.02318925456296
2021,"Suriname","Kyleside",359.03080589643486
2011,"Switzerland","Paulchester",359.0313262608096
2008,"Canada","Wallaceview",359.0573577996837
2012,"Kazakhstan","Smithville",359.06392172317334
2006,"Korea","Bensonport",359.0856117081905
2000,"Greece","South Alanport",359.093344407393
2006,"Bahamas","East Sarah",359.1071088812388
2015,"Canada","Sarahmouth",359.11172865378813
2018,"Haiti","North William",359.11964410034005
2010,"Germany","North Jillianmouth",359.12946620847475
2021,"Martinique","Jonathantown",359.13228929011086
2008,"Pakistan","Williamchester",359.1531990739532
2000,"Libyan Arab Jamahiriya","Zacharyborough",359.17175493562024
2018,"Oman","Erinshire",359.1783537915979
2012,"Tanzania","Friedmanton",359.1796338683297
2018,"Portugal","West Edwardside",359.1987162378039
2009,"Croatia","South Donnahaven",359.2073072710242
2007,"Iraq","Lake Karenstad",359.22959079386754
2015,"Antigua and Barbuda","Reyestown",359.25364379230297
2005,"Ghana","Johnsonchester",359.2607096371108
2004,"Spain","East Debraville",359.2745422277401
2005,"Tanzania","Port Carmen",359.29426343759104
2021,"Uruguay","Ronaldborough",359.2971019901572
2011,"Namibia","East Kyle",359.30751741652955
2004,"Benin","Port Adam",359.3108894264114
2011,"Djibouti","Brittanyport",359.3362398255284
2008,"Mozambique","Walkerland",359.3441256442535
2013,"Grenada","Lake Joseph",359.3732952454918
2004,"Brunei Darussalam","West Georgeborough",359.3897042359662
2013,"Djibouti","North Jonathanchester",359.39231807820266
2011,"Belgium","Lake Mackenzie",359.3957872215506
2017,"Algeria","Anthonyshire",359.4187527366016
2005,"Netherlands","North Andrew",359.4672925300181
2008,"Netherlands Antilles","Jeremyview",359.47342107998725
2006,"Antarctica (the territory South of 60 deg S)","Pittsmouth",359.49536631202704
2002,"French Southern Territories","Port Erika",359.5093502788829
2017,"Pakistan","Hallchester",359.5207600426306
2018,"Guyana","Velezberg",359.52496379307587
2002,"Bermuda","New Teresaland",359.5513501841796
2014,"Swaziland","Atkinsonside",359.55923165273697
2002,"Chad","Snyderchester",359.5828117069518
2008,"Palau","Kentborough",359.5909683947865
2001,"Northern Mariana Islands","Lake Joelborough",359.5942490079653
2018,"Guadeloupe","Claireshire",359.61018621583395
2014,"Falkland Islands (Malvinas)","Allenberg",359.6159152406234
2016,"Rwanda","Port Jasmine",359.61604655308383
2004,"Ukraine","Holmesport",359.61851636423575
2022,"Honduras","Lake Jonathan",359.6224496386985
2012,"Gambia","Alanbury",359.6625854530388
2003,"Sierra Leone","Nicolebury",359.69801983111205
2002,"Sao Tome and Principe","Port Davidfurt",359.74591308358146
2017,"Grenada","North Kellitown",359.7547626633264
2017,"Armenia","New Wayneshire",359.7899027461775
2006,"Eritrea","Frenchland",359.8036644766621
2015,"Saint Barthelemy","New Carla",359.81111824038067
2007,"Sweden","Lorihaven",359.83330493377684
2002,"Wallis and Futuna","Parksbury",359.86874010188296
2015,"Micronesia","Lake Kathryn",359.8735657757242
2015,"Kenya","Lake Ryanmouth",359.88766179798097
2002,"Latvia","East Steven",359.8999992621639
2021,"Martinique","Lake Linda",359.9036041160671
2017,"Nigeria","New Olivia",359.9077563507842
2003,"Saint Lucia","Jonathanside",359.9162494486121
2007,"Guam","Lake Richard",359.9477237667374
2022,"Mauritania","West Michelle",359.95940970719823
2021,"Honduras","New Kylestad",359.9649799031459
2006,"Tajikistan","North Jamesside",359.9978020840997
2010,"Cambodia","West Martha",360.0109722736135
2006,"Taiwan","Port Stevenville",360.0301406579041
2022,"Kiribati","East Rebecca",360.043478124176
2013,"Saint Martin","Kelleyburgh",360.04921432604
2011,"Falkland Islands (Malvinas)","North Michelle",360.05503140988634
2008,"Guinea","South David",360.0663070296222
2011,"French Polynesia","Port Trevorport",360.07920918458615
2017,"Maldives","Aliciafurt",360.1379026632842
2019,"Korea","New Charles",360.1417243812261
2019,"Tunisia","East Breannaside",360.15266089792743
2012,"Comoros","Larrymouth",360.16335189038466
2013,"Lebanon","Port Christina",360.17662692693114
2004,"Thailand","New Chelsea",360.1888012073262
2021,"Chad","North Elizabethview",360.1897898357029
2010,"Nicaragua","Cainmouth",360.2083566300475
2006,"Guyana","North Deniseberg",360.2112576741827
2003,"Paraguay","East Elaineside",360.24196513120177
2013,"Norfolk Island","South Suzanne",360.26451204019685
2001,"Wallis and Futuna","Adamsburgh",360.3140468392746
2001,"Heard Island and McDonald Islands","Micheleborough",360.32046828192176
2009,"Peru","North Joshualand",360.32961978525344
2003,"Saint Barthelemy","Murillohaven",360.3568116445226
2013,"Sudan","Hornebury",360.37054978420383
2000,"Norway","East Toni",360.38393114414976
2020,"British Indian Ocean Territory (Chagos Archipelago)","Michaelburgh",360.3855469173669
2003,"American Samoa","Danielhaven",360.3943076483578
2007,"Sri Lanka","East Marychester",360.4194991169438
2008,"Aruba","East Heathershire",360.4250810202088
2002,"Djibouti","Christopherville",360.431322765897
2005,"Slovenia","Martinshire",360.4432622700187
2005,"Tanzania","Michaelmouth",360.464758517494
2008,"Brunei Darussalam","Andrewville",360.4657910270365
2021,"Australia","Sandraville",360.4717410094171
2014,"Iran","Gilbertstad",360.48485216735565
2003,"Iceland","Williamville",360.5047227606796
2013,"Yemen","North Randy",360.5081854617533
2002,"Ukraine","East Carolyn",360.5131657484036
2008,"Cayman Islands","Lake Kathleen",360.56593365772994
2007,"Armenia","Kimland",360.5663667782569
2001,"South Africa","Stevenburgh",360.5705076473357
2000,"Uganda","South Amy",360.6141822564641
2021,"Yemen","South Paula",360.6143255927354
2005,"Thailand","West Johnnyport",360.65567467027256
2013,"Maldives","Ryanland",360.6561776465752
2017,"Tonga","East Troy",360.6807806060618
2007,"Somalia","Myersstad",360.6895320081746
2008,"Costa Rica","Victorview",360.7100303390484
2002,"Gabon","New Jonathanhaven",360.72629678153066
2005,"Cape Verde","Joshuamouth",360.7267691422537
2022,"Suriname","Dustinview",360.73753359046174
2008,"Ghana","West Michellefurt",360.7516131081426
2000,"Fiji","West Jillton",360.81117844919766
2013,"Portugal","East Tracy",360.83272809134655
2017,"Kyrgyz Republic","Smithborough",360.8383104098309
2010,"Hong Kong","Daltonshire",360.8405957391712
2003,"Slovenia","Andrewton",360.8580998875468
2006,"Uruguay","Karenburgh",360.9210582547272
2004,"Guadeloupe","East Conniemouth",360.9422949119064
2001,"Nepal","New Joseph",360.94771289530553
2020,"Tonga","Lake Breannashire",360.95715584274166
2012,"Netherlands Antilles","Port Annetteside",360.97018827113845
2018,"Antigua and Barbuda","West Davidbury",360.9743523475093
2007,"Pitcairn Islands","Port Carrie",361.0014071758466
2000,"Barbados","South Larryland",361.001948748036
2018,"Mauritania","Torreston",361.0203113503612
2020,"Gabon","Lake Ann",361.0333659376713
2015,"Burundi","Dominguezside",361.0398036295122
2021,"Mexico","Billyshire",361.06858706632187
2018,"Australia","Grossstad",361.08061945966654
2004,"Norfolk Island","Stevenland",361.08186801344175
2010,"Myanmar","East Kristen",361.0879102968185
2014,"Chad","North Charles",361.0887268103008
2022,"Sierra Leone","South Kennethview",361.1110175190949
2005,"Gibraltar","New Janetborough",361.1242792796979
2022,"Chile","Lake Sharonville",361.13037508708175
2000,"Liechtenstein","Erikborough",361.1621975055812
2002,"Heard Island and McDonald Islands","Port Josephburgh",361.2478584093835
2009,"Comoros","New Kenneth",361.26083379261127
2019,"Oman","South Annette",361.2625423251393
2003,"Mauritius","New Stevenfurt",361.2944250570122
2002,"Thailand","West Scottberg",361.3421810972074
2010,"Sierra Leone","Lake Jeremy",361.3527799446666
2005,"Argentina","Lake Nicoleshire",361.36078400572046
2019,"Iraq","Robertmouth",361.37280229014345
2003,"Guadeloupe","East Karenport",361.4205003661445
2017,"Namibia","Port Lynnview",361.4293877316979
2007,"Indonesia","New Rhondaville",361.4296132453757
2012,"United States Minor Outlying Islands","New Markberg",361.4368917419641
2007,"Holy See (Vatican City State)","West Karenborough",361.4719967076117
2010,"Uganda","Isaactown",361.4866252655044
2009,"Bulgaria","Port Jeanetteburgh",361.5027054560819
2008,"Mauritius","North Kimberly",361.5033261948277
2021,"Spain","Richardfurt",361.5079985275446
2010,"Bhutan","Ashleyfort",361.5979479054902
2016,"Namibia","Angelashire",361.6277936067691
2009,"Korea","North Hectorton",361.6374295171677
2022,"Armenia","East David",361.6395140935379
2006,"Mauritius","East Timothyside",361.63971156105066
2001,"Portugal","Port Dustinport",361.6776376680487
2019,"Australia","Perrymouth",361.69208790097593
2017,"Lesotho","Port Megan",361.7402066852681
2009,"Namibia","North Jessicaport",361.7970923596162
2018,"United Kingdom","Lake Mandy",361.79771204122414
2019,"Trinidad and Tobago","Santosshire",361.8151584498965
2017,"Martinique","Fitzpatrickshire",361.82724657539177
2021,"Comoros","Gonzalesfort",361.8435558220472
2005,"Bouvet Island (Bouvetoya)","Anthonyside",361.8496316464525
2017,"Niue","Jeffburgh",361.8538640288561
2004,"Tajikistan","Mccarthystad",361.8757398414174
2014,"Reunion","New Joseph",361.87767790012754
2014,"Sao Tome and Principe","Port Michael",361.8842055280628
2014,"Netherlands","West Matthew",361.8848880685202
2007,"Maldives","North Jesus",361.95026155437097
2000,"New Zealand","West Robert",361.9507914496288
2010,"Uruguay","Caitlinberg",361.9541887849242
2021,"Belize","North Jennifer",361.9856686079455
2002,"Guadeloupe","New Shellyville",362.0152129877919
2001,"Nigeria","West Courtneyside",362.04850539752925
2014,"Iceland","Port Lisa",362.09612111571744
2005,"United States Minor Outlying Islands","West Cheryl",362.1090097524349
2011,"Estonia","Port Stephanie",362.1404694843893
2002,"Cuba","Owensfurt",362.1749997248522
2009,"Marshall Islands","Port Gabriela",362.19489906620737
2012,"Senegal","Ericfort",362.2186329194736
2007,"Tajikistan","Flemingburgh",362.2538819465368
2021,"Malta","Brownside",362.2596814783852
2005,"Vietnam","Seanshire",362.3195767382439
2009,"Isle of Man","North Tonya",362.3607725292711
2015,"Somalia","North Amyburgh",362.363087640637
2016,"Sierra Leone","West Matthewshire",362.3952976284879
2015,"Venezuela","South Marcusmouth",362.408125107345
2018,"Panama","East Ericahaven",362.4786458263223
2004,"San Marino","Cookstad",362.5361313406784
2015,"Mozambique","West Katiemouth",362.5416348992349
2014,"Zimbabwe","New Jason",362.5510120361253
2002,"Indonesia","Martinport",362.5584290126999
2019,"Jamaica","East Jeffshire",362.5607967050648
2007,"Northern Mariana Islands","Barronhaven",362.58020763028
2022,"French Guiana","North Justinton",362.5944098553791
2015,"Wallis and Futuna","Frankchester",362.6024225802088
2009,"Monaco","Karenport",362.6301940849604
2018,"Mexico","Chadville",362.63817647554816
2011,"Lesotho","Lake Williamstad",362.6490604335547
2022,"Bangladesh","East Joshua",362.652213062441
2017,"Saint Martin","Lake James",362.660266114832
2000,"Ecuador","Lake Shirley",362.66908361860783
2009,"American Samoa","North Johnmouth",362.7041448962647
2019,"United Arab Emirates","North Cory",362.7088966255648
2011,"British Virgin Islands","New Davidfurt",362.73424563651656
2022,"Timor-Leste","New Nathan",362.7550039831221
2000,"Saint Lucia","North Jameshaven",362.7744171559484
2011,"Chad","North Allenview",362.7941217195405
2020,"Belarus","Moorebury",362.81905765156034
2006,"Iraq","West Thomas",362.8792468872782
2002,"Reunion","Danielland",362.8800238207874
2017,"Kuwait","Huntershire",362.9178157204067
2021,"Sudan","Juarezchester",362.929358460741
2020,"Korea","South Laura",362.9472545360877
2012,"Armenia","Leemouth",362.98352748561945
2011,"Lithuania","Port Nathan",363.0023589162412
2016,"Rwanda","Patrickburgh",363.019763816677
2008,"Dominican Republic","East Nicholasshire",363.0241367906371
2002,"Cayman Islands","East Michelleton",363.0400378975596
2019,"Malta","North Gregoryborough",363.0472363164698
2015,"Liberia","West Michael",363.07250931511794
2022,"Netherlands Antilles","South Carol",363.09705178809673
2022,"Philippines","Garnerburgh",363.1366246099214
2019,"Bhutan","North Ryan",363.1575211747924
2006,"Benin","Meaganhaven",363.1627341107885
2004,"Timor-Leste","Lake Bradley",363.1631069546387
2017,"Malawi","Port Paulaville",363.1906567029697
2020,"El Salvador","East Erikamouth",363.20981265215966
2020,"Norway","Wilsonhaven",363.2231607385961
2009,"Indonesia","Harveyville",363.2482423985581
2018,"Bangladesh","New James",363.2725578429488
2016,"Slovakia (Slovak Republic)","Sandramouth",363.2773874865471
2000,"Cote d'Ivoire","East Sandyside",363.3038603947129
2013,"Mexico","Mandyburgh",363.3344677590462
2004,"Georgia","Campbellshire",363.3361890455144
2003,"Liechtenstein","Justinshire",363.34371460500176
2012,"Bermuda","Robinsonland",363.3469432051231
2001,"Oman","Port Kevinville",363.35316085714
2022,"Cameroon","Port Melissaview",363.41849097794767
2013,"South Georgia and the South Sandwich Islands","West Albert",363.42082494397954
2014,"Guyana","New Austinmouth",363.4610035421483
2001,"Sao Tome and Principe","North Jodimouth",363.4876864529567
2011,"Faroe Islands","Luisbury",363.49406138297735
2020,"Croatia","Samanthaborough",363.5078373717041
2018,"Rwanda","Port Madison",363.52702366152965
2017,"Botswana","Gibsonbury",363.5376868917768
2016,"Central African Republic","New John",363.5674505854189
2001,"Germany","Lake Lisaside",363.5952054485896
2019,"Qatar","Aaronview",363.5966593846427
2002,"Armenia","Smithshire",363.627980889048
2005,"Congo","Cervantesfort",363.6628883259476
2016,"Mauritius","Cohenburgh",363.66708123669423
2009,"Marshall Islands","Lake Danielstad",363.6796223635408
2008,"Cyprus","Cindyborough",363.69430748889727
2017,"Jordan","Edwardmouth",363.70790739339225
2002,"Cape Verde","Snowview",363.75095250905673
2019,"Luxembourg","East Andrew",363.7589385992664
2022,"Russian Federation","Loganton",363.7776582125628
2014,"Mayotte","Jillianside",363.79416284819024
2015,"Ghana","Lyonsville",363.80424738469424
2007,"Tunisia","South Andrew",363.8172107914632
2003,"Bahamas","North Annport",363.8585314576743
2008,"Solomon Islands","Garciaberg",363.8784489448339
2001,"Morocco","Mercadostad",363.8906413130302
2016,"Saint Lucia","South Michaelview",363.89352048363145
2012,"Montserrat","New Sarahstad",363.9084495909872
2015,"Nepal","Port Gerald",363.9168109222378
2022,"Algeria","New Sandra",363.9402336249734
2006,"Guinea","Kevintown",363.9555594536217
2022,"Vietnam","Santiagotown",363.9784154244804
2009,"Spain","Dawnmouth",363.9896221907604
2006,"Niger","Deanside",364.0056750720437
2015,"United Kingdom","South Natasha",364.0547970948614
