"year","country","location","sea_level_rise"
"2008","Rwanda","New Brandi","-0.572459116411102"
"2009","Burkina Faso","Rogersburgh","-0.5722896953380944"
"2002","Costa Rica","Port Nancy","-0.5722609676800319"
"2010","Bouvet Island (Bouvetoya)","Lake Rebeccashire","-0.5720892359372743"
"2018","Gambia","Lambchester","-0.5717728357211648"
"2021","Saint Lucia","Davistown","-0.5715552921106205"
"2010","Tanzania","New Christopherland","-0.5714751851415634"
"2021","Argentina","Robleshaven","-0.5713987873102055"
"2019","Niue","Wigginsland","-0.5706811904181174"
"2011","Ukraine","Millerfort","-0.5703511420070618"
"2017","Ghana","Gonzalezton","-0.5699725343059426"
"2004","Gambia","Michaelchester","-0.5697949284792589"
"2001","Uganda","South William","-0.5695990301804505"
"2005","Turkmenistan","Simpsonburgh","-0.5694419800413612"
"2007","Rwanda","North Robert","-0.5692686479625402"
"2015","Saint Barthelemy","South Annfurt","-0.569240331206776"
"2022","Tanzania","North Nancyton","-0.5687751105966353"
"2010","Venezuela","New Abigailburgh","-0.5686592569929427"
"2020","Burundi","Hancocktown","-0.5686072602694616"
"2011","Jersey","Benjaminfort","-0.5685661909236891"
"2016","Nauru","Port Wesleyhaven","-0.568289419431232"
"2010","Georgia","Lawrencestad","-0.5676693134166643"
"2002","Luxembourg","West Paul","-0.5673157220175576"
"2017","Brunei Darussalam","North Alexis","-0.5671511197176777"
"2013","Mauritius","Port Christopherside","-0.5668347841746444"
"2002","Pitcairn Islands","Lake Cole","-0.5667863286420146"
"2012","Zambia","South Jeffrey","-0.5665213783089118"
"2008","Seychelles","Williamschester","-0.5652752177958293"
"2018","Panama","East Ericahaven","-0.5648000521739491"
"2020","Bahamas","Krauseburgh","-0.5647080009448786"
"2014","Australia","Lake Justin","-0.5645335085718057"
"2006","Myanmar","East Richardton","-0.5643977382801699"
"2009","Swaziland","Ronniehaven","-0.5639521125097529"
"2003","Greenland","New Chase","-0.5635494751048807"
"2008","Estonia","Patricktown","-0.5635420006515749"
"2011","Congo","North Nicolestad","-0.5629432745164948"
"2016","Australia","Woodhaven","-0.5625859234936592"
"2019","Greenland","Vincentshire","-0.5624406649584816"
"2014","Sao Tome and Principe","Ruthfurt","-0.5623953477727889"
"2008","Somalia","East Brittanymouth","-0.5622658690948215"
"2004","Jamaica","New Michelleshire","-0.5620051492472314"
"2007","Macao","Lake Heidihaven","-0.5619129436228202"
"2005","Poland","North Kelseyshire","-0.5618311621717379"
"2011","Puerto Rico","Port Scott","-0.5615429140976704"
"2019","Albania","New Marvinburgh","-0.5611896632537839"
"2013","New Zealand","Harmonland","-0.5609791700331245"
"2011","Saint Lucia","Douglastown","-0.5604615020499353"
"2012","Palau","Tylermouth","-0.5599239291190284"
"2004","Kyrgyz Republic","Port Jeanetteside","-0.5599196422602621"
"2014","Trinidad and Tobago","West Christopher","-0.5596839775105433"
"2004","Latvia","East Sarahview","-0.5586930836546498"
"2022","Martinique","South Johnfort","-0.5582872380500886"
"2000","Sri Lanka","New Michele","-0.5582627080233639"
"2008","Tanzania","Chadshire","-0.5576624905657698"
"2012","Switzerland","Jenniferville","-0.5576428799981892"
"2000","Uruguay","South Robertmouth","-0.5576179076200247"
"2021","Benin","Katelynport","-0.5574468755523966"
"2018","Sweden","Josephstad","-0.557385161654795"
"2005","Pakistan","East Jessica","-0.5573228166923686"
"2009","Belize","North Rebeccahaven","-0.557041041418647"
"2021","Trinidad and Tobago","Port Manuel","-0.5569344644036966"
"2000","Malawi","Turnerville","-0.556824400816107"
"2010","Algeria","Austinstad","-0.5565411812776714"
"2001","India","Jacobland","-0.5563864917342857"
"2000","Hungary","Nancychester","-0.556126773261807"
"2005","South Georgia and the South Sandwich Islands","Paulport","-0.5555955125893853"
"2009","South Georgia and the South Sandwich Islands","Thompsonside","-0.5554455213355881"
"2005","Cyprus","Lake Tonya","-0.5548863137806054"
"2013","Kiribati","Hannahstad","-0.5545535426936476"
"2006","Kyrgyz Republic","Sarahville","-0.5543835830106354"
"2002","Saint Lucia","Shirleyfort","-0.5541144127086571"
"2016","Burkina Faso","Amymouth","-0.5539316728030206"
"2016","American Samoa","Christopherbury","-0.5537793535294909"
"2004","Iraq","New James","-0.5527994195889957"
"2005","Armenia","Fitzpatrickfort","-0.552770749002802"
"2013","Niger","West Matthewland","-0.5523293103520072"
"2009","Chad","Johnsonberg","-0.5523218059765164"
"2010","Belize","Mitchellchester","-0.5519885302911893"
"2010","Guinea-Bissau","Lake Autumnberg","-0.5518846359380987"
"2006","Panama","Robertbury","-0.5512150277161729"
"2019","Namibia","Pierceshire","-0.5509198069741974"
"2016","Ethiopia","New Seanbury","-0.5508260033756435"
"2010","Cocos (Keeling) Islands","Davidstad","-0.5506969358539519"
"2015","Uganda","Lake Sydney","-0.5505232437370783"
"2013","Gambia","Stewartshire","-0.5504722900415779"
"2015","Guyana","New Pamelaport","-0.5504408303123156"
"2014","Bermuda","Sherrybury","-0.549908752382156"
"2006","United States Minor Outlying Islands","North Jennifer","-0.5496623310477092"
"2007","Switzerland","New Candaceview","-0.5493548150614798"
"2001","Botswana","Jameschester","-0.5488838499106812"
"2014","Guyana","Billyburgh","-0.5488332873998953"
"2009","Turkey","Jorgechester","-0.5486131683351315"
"2002","Czech Republic","East Paulshire","-0.5483359706581072"
"2013","Holy See (Vatican City State)","Jamesport","-0.5481921376622247"
"2005","Finland","South Keithland","-0.5478430817648529"
"2000","Senegal","East Robert","-0.5477921181025502"
"2019","Cook Islands","Alexandraton","-0.5475755599671799"
"2012","Guyana","Willisfort","-0.5472401907511424"
"2006","Cocos (Keeling) Islands","East Joseph","-0.5471250715791351"
"2010","French Guiana","Port Valeriechester","-0.5470190946510064"
"2004","Netherlands Antilles","Port Stanleystad","-0.5469496197332098"
"2004","Barbados","Lake Ronaldchester","-0.54666946276768"
"2003","Hong Kong","East Stephanie","-0.5466142174165322"
"2001","Belize","Payneview","-0.5465871933851117"
"2017","Niger","Kelleyport","-0.5464661829622953"
"2021","Faroe Islands","South Robertmouth","-0.5464499973230191"
"2002","Cuba","Owensfurt","-0.5463064279206751"
"2017","Uganda","Mooreshire","-0.5462619154524523"
"2013","Sierra Leone","Jessicaburgh","-0.5461227304838149"
"2016","Chile","East Antonio","-0.5460694048161618"
"2012","Bouvet Island (Bouvetoya)","Barronbury","-0.545894829597307"
"2004","Cayman Islands","Lake Stevenport","-0.5456033675998541"
"2005","Spain","Murphyshire","-0.545170397701008"
"2016","Albania","Lake Ryanbury","-0.5450270882283254"
"2003","Panama","Port Michael","-0.5449290926763269"
"2000","Denmark","New Jessicashire","-0.5448404193102606"
"2022","Haiti","North Georgeton","-0.5444149282839067"
"2007","American Samoa","West Tamaraburgh","-0.5444006539075692"
"2022","Bahamas","Debraside","-0.5442566595896982"
"2006","Lao People's Democratic Republic","Romeroton","-0.5438599887037056"
"2005","Benin","Deniseborough","-0.5436474751086018"
"2021","Tonga","Carrillohaven","-0.5435486364287861"
"2009","Guinea-Bissau","Walterberg","-0.542259576040013"
"2005","Zambia","Braymouth","-0.5419575198656871"
"2022","Burkina Faso","Zavalahaven","-0.5416255957315866"
"2019","Canada","New Jonathanstad","-0.5415203068708278"
"2020","Peru","Gravesview","-0.5411793280550841"
"2016","Cocos (Keeling) Islands","South Nicolestad","-0.54058696547354"
"2022","United States Virgin Islands","Johnchester","-0.5405096292809132"
"2020","Mauritius","Christinemouth","-0.5403194457008788"
"2006","Brazil","East Karenberg","-0.5403122883937319"
"2001","Heard Island and McDonald Islands","Williamton","-0.5394765558317621"
"2001","Myanmar","North Juan","-0.539260355813847"
"2009","Marshall Islands","Lake Danielstad","-0.5379568776037796"
"2016","United States Virgin Islands","Thomasmouth","-0.5379541207718606"
"2018","Falkland Islands (Malvinas)","Williamschester","-0.5375548491265593"
"2016","Holy See (Vatican City State)","East Nicolemouth","-0.5373386549251141"
"2015","Afghanistan","Mccartyport","-0.5364584831609521"
"2004","Denmark","Port Brent","-0.5362411265671176"
"2006","Bahamas","West Bryan","-0.5359558906982792"
"2015","Costa Rica","Sarahport","-0.5351206041826645"
"2018","Eritrea","Woodview","-0.5350220852840059"
"2017","Guatemala","Prattside","-0.5345370987377254"
"2019","Sao Tome and Principe","Christinafurt","-0.5344245984017484"
"2009","Guatemala","Johnstonfort","-0.5339856710820623"
"2001","New Caledonia","North Pedro","-0.5331394249826374"
"2008","Korea","Amymouth","-0.5328390474297916"
"2003","Cook Islands","Parksfort","-0.5327692566998354"
"2021","Belgium","Lewisview","-0.5323433057166064"
"2017","Palestinian Territory","Freemanfort","-0.5314670286891202"
"2008","Iceland","Smithshire","-0.5311782272619103"
"2016","Mongolia","Whitemouth","-0.5309355291620951"
"2004","Bermuda","East Juan","-0.5303407566668952"
"2016","Saint Barthelemy","Saundersville","-0.5299964028790466"
"2007","Guinea","Pooleton","-0.529270682737731"
"2013","Cambodia","New Valerie","-0.528827310489795"
"2005","Brazil","West Matthew","-0.5285696867092784"
"2011","Cameroon","Brittanytown","-0.5283523110932661"
"2015","Saint Martin","Rogersfort","-0.5277683819931611"
"2021","Nigeria","New Crystal","-0.5276800668469036"
"2008","Canada","Jamesmouth","-0.527614763252297"
"2006","Korea","New Juliehaven","-0.527446419822309"
"2009","Croatia","North Jessicamouth","-0.5271227921248954"
"2005","Ecuador","West Marytown","-0.5270688701650587"
"2018","Mali","South Philip","-0.5268842534037004"
"2011","Reunion","Fitzgeraldton","-0.5267597470980698"
"2017","Tunisia","Jasonside","-0.5252635989157105"
"2005","Germany","Robertborough","-0.5252540439041888"
"2012","Sudan","Keithburgh","-0.5251716265747483"
"2011","Namibia","Jenkinshaven","-0.5250010407672403"
"2010","Slovenia","Port Mary","-0.5246482261653221"
"2003","Guinea-Bissau","Perezland","-0.524382741749042"
"2007","Kiribati","Gibsontown","-0.5241484574316063"
"2001","Bosnia and Herzegovina","South Stephenton","-0.5238086034340459"
"2015","Switzerland","South Aaron","-0.5237262115496185"
"2021","Kiribati","North Kimberly","-0.5235832338006091"
"2015","Uganda","Tonishire","-0.5234425468916862"
"2014","Fiji","West Jamie","-0.5231230901295971"
"2016","Mongolia","Nguyenville","-0.5224967314906164"
"2000","Kuwait","North Adamland","-0.5220453707084137"
"2012","Central African Republic","Greenebury","-0.521773726551906"
"2001","Afghanistan","West Jenniferborough","-0.521701190046652"
"2013","Finland","Samueltown","-0.5212904264353336"
"2017","United Kingdom","West Cynthialand","-0.521116835317263"
"2000","El Salvador","South Mistyburgh","-0.5208186584998462"
"2002","Cyprus","South Brianna","-0.5207186515965823"
"2013","Nepal","East Davidchester","-0.5205900236485502"
"2008","Liechtenstein","Lake Bradley","-0.5200263670727103"
"2016","Malta","East Christopherbury","-0.5200200742676095"
"2010","Belgium","Ramirezhaven","-0.5199891687398438"
"2012","Togo","Lake Jasmine","-0.5199120818109789"
"2020","Brazil","Thomaschester","-0.5193371895417606"
"2010","Brunei Darussalam","Port Jasmine","-0.5189189308092453"
"2020","China","Davisbury","-0.5186957638569509"
"2005","Cuba","Hayleychester","-0.5176265870844577"
"2008","Togo","Paulstad","-0.5168697701082171"
"2014","Nepal","Vickimouth","-0.5167699110249725"
"2020","South Africa","West Amyport","-0.5163586190871795"
"2004","Denmark","Jamesville","-0.5157672601163574"
"2014","Nigeria","Espinozaport","-0.5154793370216542"
"2015","Nepal","Port Gerald","-0.5153690393931416"
"2014","Albania","Nathanfort","-0.5147966616572736"
"2018","Belarus","South Breanna","-0.5146588156519415"
"2010","Azerbaijan","North Amanda","-0.5141279744731989"
"2013","Timor-Leste","Diazhaven","-0.5141022516508295"
"2003","China","New Jessica","-0.5138729325025235"
"2014","Grenada","Kinghaven","-0.5137057562157372"
"2006","Bermuda","Port April","-0.5136778714397351"
"2009","Antarctica (the territory South of 60 deg S)","Edwardtown","-0.513613578751568"
"2000","Niue","Austinton","-0.51313428435079"
"2017","Colombia","Woodmouth","-0.5130943936830422"
"2003","Serbia","Lake Bradley","-0.5127920679099346"
"2010","Sweden","North Ronald","-0.5125948521359625"
"2002","Portugal","West Destiny","-0.5124069214708226"
"2002","Saint Martin","North William","-0.5121171754461867"
"2014","Hong Kong","North Chadmouth","-0.5119058111203924"
"2006","Kyrgyz Republic","Port Michellechester","-0.5114676255088068"
"2008","Tonga","Stewartmouth","-0.5114568234024093"
"2010","Wallis and Futuna","Reedport","-0.5107910127961438"
"2022","Kuwait","Jenniferton","-0.5104985973895694"
"2012","Seychelles","Lake Megan","-0.5103429595016102"
"2014","Greece","Millertown","-0.5100927366918176"
"2018","Svalbard & Jan Mayen Islands","New Lauriemouth","-0.5100829570171925"
"2022","Reunion","New Rebeccastad","-0.5093926871057034"
"2007","India","Aliciaview","-0.5092445119243612"
"2012","Cocos (Keeling) Islands","Rhondastad","-0.5087515112818819"
"2021","Jamaica","Jacobbury","-0.5080044644364473"
"2009","Haiti","Brandifurt","-0.5076584379741765"
"2022","Bhutan","Martinezberg","-0.5070571361145962"
"2008","Brazil","South Louis","-0.50700763500402"
"2014","Dominica","South Victor","-0.5064826589741149"
"2016","Bolivia","Port Christinachester","-0.5060456069740338"
"2019","Niue","Rogersmouth","-0.5060232298455366"
"2000","Zimbabwe","New Robert","-0.5058031263852492"
"2002","Dominica","South Marcus","-0.5052234235920554"
"2017","Tuvalu","Smithshire","-0.5043665732326429"
"2003","Burkina Faso","Port Jasmineland","-0.5042766961158945"
"2022","French Guiana","Justinshire","-0.5042623613086054"
"2019","Yemen","Margaretstad","-0.504228932050596"
"2002","Luxembourg","Carterbury","-0.5039944166626882"
"2011","Namibia","Singletonchester","-0.5038694955731022"
"2005","Wallis and Futuna","Lake Sandraburgh","-0.5035753558181949"
"2015","Liberia","West Michael","-0.5035302677694569"
"2003","Jamaica","East Ericatown","-0.5031982279243203"
"2001","Korea","Sharpmouth","-0.502310963811313"
"2001","Liberia","Lake Gregory","-0.5022507541378889"
"2009","Sierra Leone","Cruzborough","-0.5021726510849234"
"2010","Nauru","Davistown","-0.5020115935657492"
"2006","Colombia","Collinsberg","-0.5011611558600627"
"2021","Central African Republic","Hillburgh","-0.5010376226554184"
"2016","Algeria","Mejiaview","-0.5007803051269937"
"2020","Afghanistan","East Jacqueline","-0.5001836012429072"
"2005","El Salvador","North Maryfurt","-0.4996876158767421"
"2019","Bhutan","Port Brianfort","-0.4993402805916846"
"2017","Grenada","West Amy","-0.4989179862995603"
"2002","Paraguay","Joshuaburgh","-0.4980122985388201"
"2021","Pitcairn Islands","Thompsonfurt","-0.4976033510971911"
"2012","Australia","Kristenhaven","-0.4974960880511658"
"2004","Brunei Darussalam","West Georgeborough","-0.496807897983869"
"2014","Senegal","Haleville","-0.4965661216598679"
"2002","Andorra","South Lauraport","-0.4962721028177439"
"2013","Afghanistan","Port Monica","-0.4959207330104969"
"2010","Jamaica","Apriltown","-0.495845686669051"
"2003","Spain","North Stephanie","-0.4954301299844796"
"2008","Ethiopia","Port Tonyatown","-0.4954111268280561"
"2007","Colombia","South Donnastad","-0.494678794588213"
"2001","Swaziland","New Brandyborough","-0.494311514979705"
"2003","Paraguay","East Elaineside","-0.4939132375953659"
"2013","Philippines","Martineztown","-0.4936933426134991"
"2016","Azerbaijan","Sarahport","-0.4930928689463071"
"2008","Maldives","Dylanview","-0.4928042583985064"
"2010","Heard Island and McDonald Islands","Schmidtstad","-0.4927847400977621"
"2009","Pitcairn Islands","East Jeff","-0.4920648302418742"
"2012","Czech Republic","Danielside","-0.4920494987070933"
"2007","Ireland","Port April","-0.4911388405911787"
"2011","Burkina Faso","Port Jacqueline","-0.4908612379575959"
"2022","French Guiana","Alexisshire","-0.4908311322736073"
"2006","Belize","Port Charles","-0.4902255199881288"
"2003","Netherlands","South Ryanfort","-0.4899370326394646"
"2007","Germany","Jenniferstad","-0.4898915154903331"
"2001","United States of America","Ryanmouth","-0.4892471124429201"
"2011","Yemen","Lake Adammouth","-0.4891949304941317"
"2020","Congo","New Michael","-0.4889327727790806"
"2011","Vietnam","Port Paulfurt","-0.4887264895480827"
"2012","Hong Kong","Manuelton","-0.4884455490785837"
"2021","Netherlands Antilles","Port Marcushaven","-0.4883496968712247"
"2005","India","South Robertstad","-0.4883048409159713"
"2016","Malaysia","Fernandobury","-0.4869473941056639"
"2003","Netherlands Antilles","East Victoriamouth","-0.4867697570175672"
"2016","Lithuania","Pollardview","-0.4861214911892894"
"2015","Russian Federation","Woodton","-0.4859738538451087"
"2020","Malaysia","Galvanport","-0.485816778439178"
"2001","Finland","Taylorberg","-0.4851294857648944"
"2018","Thailand","Lake Donna","-0.4849929278604785"
"2005","Kazakhstan","Barnesport","-0.4846718674706328"
"2022","Congo","Lake Jessica","-0.4843565595410203"
"2000","United States of America","Garciatown","-0.484336288143798"
"2012","Malawi","Lake Melissatown","-0.4836099834382617"
"2010","Brunei Darussalam","Robertton","-0.483527920657495"
"2008","Nigeria","Braunshire","-0.4831479475777957"
"2003","Micronesia","North Jamesshire","-0.4824029025975196"
"2015","Tajikistan","West John","-0.4823682934435541"
"2013","Liechtenstein","South Heatherton","-0.4820345952916935"
"2002","Eritrea","Tammyport","-0.4817414798129049"
"2006","Taiwan","Michaelshire","-0.4811806444600865"
"2020","Anguilla","Cainbury","-0.4807793157021595"
"2011","India","Keithmouth","-0.4805133868324887"
"2018","Senegal","South Jonside","-0.4800831241347887"
"2005","Korea","West Gregory","-0.4800209887111932"
"2011","Bermuda","Port Elizabethmouth","-0.4797858044713964"
"2003","Andorra","West Brettbury","-0.4797691532720087"
"2020","Slovenia","New Lisa","-0.4792522032800379"
"2016","Nigeria","Pereztown","-0.4785749311450913"
"2019","Kazakhstan","Bryanfort","-0.4778490895828272"
"2016","Grenada","Hernandezmouth","-0.4777256169762964"
"2010","France","Leachfort","-0.4771493394058145"
"2018","Iran","Benjaminport","-0.476841277164581"
"2016","Austria","Breannaton","-0.4767210854954005"
"2002","Montenegro","West Aaronland","-0.4766920407677536"
"2017","Brunei Darussalam","Meganhaven","-0.4760676730409417"
"2008","Malawi","Gonzalezfurt","-0.4760507969416997"
"2003","Uganda","East Scott","-0.475958273926859"
"2000","Vietnam","South David","-0.4759314713381429"
"2009","Germany","Henrybury","-0.4755429990307666"
"2003","Turkmenistan","New Kellyfort","-0.4754620327897495"
"2003","Marshall Islands","Hollychester","-0.4752378279093142"
"2009","Bahrain","New Jasontown","-0.4751069067172772"
"2000","Gabon","Leside","-0.474576095668648"
"2020","Lithuania","Burnstown","-0.47443754317316"
"2014","Palestinian Territory","West Scottfurt","-0.4743777691378855"
"2010","Singapore","East Lisamouth","-0.4742537424968757"
"2017","Jordan","Edwardmouth","-0.4734887267315513"
"2002","United States of America","Wrightfurt","-0.473106348178826"
"2011","Antigua and Barbuda","North Jessica","-0.4729553387192089"
"2005","Falkland Islands (Malvinas)","Mejiaberg","-0.4728456121765743"
"2019","Burkina Faso","Tonymouth","-0.4727552348300924"
"2007","Canada","Charleston","-0.4726814479168858"
"2010","Saint Vincent and the Grenadines","Steventown","-0.4723897094022614"
"2020","Macao","Shepherdview","-0.4713972411809052"
"2021","Sri Lanka","Carolfurt","-0.4712853278871524"
"2007","Saint Lucia","Katherinefurt","-0.471018947060694"
"2017","French Polynesia","Sullivanhaven","-0.4709977897067404"
"2006","Mongolia","New Lisa","-0.4708854622127011"
"2011","Sao Tome and Principe","Corychester","-0.4699330255841927"
"2020","Greenland","Lake Heathertown","-0.4696061040136839"
"2020","Montenegro","North Sarah","-0.4695681113406719"
"2005","Turks and Caicos Islands","Mcdonaldburgh","-0.4694724529995961"
"2012","Swaziland","North Kellyhaven","-0.4692635786935056"
"2019","Antarctica (the territory South of 60 deg S)","Lake Debrafort","-0.4691942437201334"
"2018","South Africa","Ethanland","-0.4684062626877318"
"2014","Philippines","Port Zachary","-0.4683891421017546"
"2010","Martinique","Mejiamouth","-0.467968104482061"
"2004","South Georgia and the South Sandwich Islands","North Noahland","-0.4678487011683953"
"2002","Bolivia","South Derekborough","-0.4676098969461326"
"2012","Montserrat","North Patricia","-0.4670718739494497"
"2009","Venezuela","West Emilytown","-0.466135872271911"
"2014","United Arab Emirates","Hernandezland","-0.4660611169638666"
"2013","Palestinian Territory","New Pamela","-0.4660106263324067"
"2001","Ghana","Carlamouth","-0.4655890810048344"
"2001","Uruguay","Gonzalesfurt","-0.4652421977570981"
"2012","British Indian Ocean Territory (Chagos Archipelago)","North Elizabeth","-0.4651901637099468"
"2014","Grenada","West Mary","-0.4648850813487361"
"2006","Sierra Leone","West William","-0.4648114203315299"
"2001","Congo","Lake Leahburgh","-0.4646920770044269"
"2011","Cameroon","Pamelamouth","-0.4642254265541553"
"2011","British Virgin Islands","New Davidfurt","-0.4630319455369343"
"2017","Tanzania","Port Shannon","-0.4629702557202536"
"2008","Venezuela","Robertville","-0.4629040914609981"
"2022","American Samoa","Vazquezton","-0.4628226346629923"
"2012","Haiti","West Edwin","-0.4619906206934629"
"2022","Guinea-Bissau","Williamsville","-0.461856240098063"
"2011","Moldova","Lake Joseph","-0.4618555057107371"
"2009","Nepal","New Jessica","-0.4617786227493604"
"2020","Belarus","Zacharychester","-0.4617189929510372"
"2001","Solomon Islands","Jaredmouth","-0.461354797049649"
"2022","Tanzania","Kristenshire","-0.4613360343272733"
"2001","Antigua and Barbuda","Matthewstown","-0.4611322997870759"
"2001","Poland","Henryburgh","-0.4609222019333314"
"2001","Croatia","Lake Taramouth","-0.4606419928392075"
"2008","Mayotte","Grayberg","-0.4605904612619531"
"2009","Korea","Port William","-0.460109193706161"
"2020","Indonesia","Lake Daniel","-0.4599350268853771"
"2007","Cambodia","New Michelle","-0.4588314175025805"
"2006","Afghanistan","North Angelamouth","-0.458423378608364"
"2014","French Guiana","Markburgh","-0.4584023593977321"
"2021","Somalia","New Lisa","-0.4580790491886526"
"2017","Pakistan","Kathleenhaven","-0.4575374352420123"
"2003","Vanuatu","Melissaville","-0.4566402747595091"
"2001","Puerto Rico","Gateston","-0.4557165120186292"
"2009","Pitcairn Islands","South Dana","-0.4556204782696104"
"2020","Papua New Guinea","North Stevenview","-0.4548664214385173"
"2007","Marshall Islands","Zacharyton","-0.4542365212304367"
"2008","Korea","North Josephshire","-0.4526946945731007"
"2012","Bosnia and Herzegovina","South Thomas","-0.4525558938519962"
"2021","Uruguay","Ronaldborough","-0.4519582432297889"
"2010","Cameroon","West Carlaton","-0.4513337687018147"
"2010","Poland","Thomasborough","-0.451286506586999"
"2006","Ethiopia","East Leefurt","-0.4511353167064053"
"2003","Liechtenstein","East Derek","-0.450511078008531"
"2003","Comoros","New Regina","-0.450462956486191"
"2007","Myanmar","Markburgh","-0.4502836441111209"
"2009","Estonia","Weeksview","-0.4502273141915841"
"2003","Guinea-Bissau","Smithmouth","-0.4496856625579487"
"2019","China","South Danielfort","-0.4495722192260973"
"2003","Cyprus","East Brandonmouth","-0.4491304800210259"
"2022","Belize","Port Nathanbury","-0.4489358884890277"
"2007","Afghanistan","Sarachester","-0.4488895457374879"
"2006","Guatemala","Richardshire","-0.4488479041768486"
"2019","Madagascar","Lake Michaelborough","-0.448745108611705"
"2014","Bhutan","Thompsonshire","-0.4484518836772418"
"2007","Barbados","Shawton","-0.4480551264163347"
"2005","Lesotho","Hayesfurt","-0.4480049828540123"
"2016","Rwanda","Joshuaberg","-0.4470688279856546"
"2014","Latvia","Port Peter","-0.4468045607374346"
"2011","Uzbekistan","New Monicaland","-0.4463139036711234"
"2010","Jamaica","Port Brandonmouth","-0.445476206104857"
"2009","Equatorial Guinea","Lake Aaron","-0.4454349664615615"
"2015","Kenya","Lake Judy","-0.4452091665332911"
"2000","Antigua and Barbuda","Emmafort","-0.4450386060723362"
"2000","Solomon Islands","Baileymouth","-0.4444211485897547"
"2011","North Macedonia","Brianborough","-0.4435797959075875"
"2019","Maldives","West Kylefort","-0.443499631716365"
"2016","Saint Martin","Nicholemouth","-0.4431637554804635"
"2000","Bosnia and Herzegovina","Port Paigeborough","-0.4424037966649276"
"2020","Azerbaijan","East Kathy","-0.4414750504201536"
"2001","Mozambique","East Eric","-0.4413371040122554"
"2003","South Georgia and the South Sandwich Islands","Quinnshire","-0.4412053543673693"
"2016","Tuvalu","West Traceyborough","-0.4407056488497339"
"2007","Palau","South Stephen","-0.4407049823090221"
"2019","Sao Tome and Principe","Port Andreaborough","-0.4406880527438874"
"2009","Lithuania","Mayerborough","-0.4395944551384382"
"2003","Georgia","Summerfurt","-0.4393760410334329"
"2007","Pakistan","South Grace","-0.4392505621032591"
"2019","Mongolia","East Matthew","-0.4391211520712008"
"2000","Congo","West Faith","-0.4388871928521667"
"2009","Oman","Kimberlystad","-0.4387114313448038"
"2020","Haiti","Jasonside","-0.438646454925008"
"2013","Sri Lanka","South Carlville","-0.4382812715253168"
"2009","Austria","Wongview","-0.4380246048896378"
"2002","Vietnam","Lawsonmouth","-0.4379592528823985"
"2017","Togo","Alexandertown","-0.4379561730586459"
"2005","Tajikistan","Michaelbury","-0.4377728692438951"
"2021","Holy See (Vatican City State)","Wendybury","-0.4374185110323418"
"2007","Oman","Hunterburgh","-0.4372878857379588"
"2005","United States of America","Hollandbury","-0.4367154544717254"
"2015","Central African Republic","Tatemouth","-0.4363469551176697"
"2000","Swaziland","Lake Eric","-0.4363168739231105"
"2005","Georgia","Lake Calvin","-0.4359466777203294"
"2001","Sao Tome and Principe","Davidview","-0.4357761831506317"
"2013","Panama","Parsonshaven","-0.4356643822637773"
"2013","Saint Vincent and the Grenadines","Johnhaven","-0.4350231984905301"
"2022","Slovenia","Austinstad","-0.434943479878982"
"2005","Azerbaijan","Mooremouth","-0.4348781597831814"
"2019","United Arab Emirates","Beckfort","-0.434530079455134"
"2004","Congo","Port Lindsey","-0.4340961160124766"
"2002","Cambodia","Jeremyport","-0.4338016578872097"
"2020","Angola","Leonbury","-0.4337639684090302"
"2008","Macao","New Veronica","-0.4337196028697868"
"2018","Myanmar","West Cassandraside","-0.4333772402869755"
"2000","Uganda","North Codyhaven","-0.4332673803751782"
"2009","Lebanon","Andrewsport","-0.4328707359258141"
"2009","Anguilla","Lake Dawn","-0.4328302377966357"
"2001","Montenegro","Andersonville","-0.4327751224361577"
"2002","Sao Tome and Principe","Aaronfort","-0.4320344158882568"
"2016","Isle of Man","West Courtneyview","-0.431910924670064"
"2005","New Zealand","Karabury","-0.4316942232205313"
"2021","San Marino","Marychester","-0.4314927061251307"
"2005","United States Virgin Islands","North Larrymouth","-0.4313059941502875"
"2014","Mongolia","Brianmouth","-0.4310095714505271"
"2012","Hong Kong","Lunaland","-0.4308616485393743"
"2000","Trinidad and Tobago","West Jamiechester","-0.4303346485845572"
"2008","Tanzania","Mariaborough","-0.4298854338668368"
"2018","Norfolk Island","Jonesberg","-0.4298810761945301"
"2011","Iraq","Ericmouth","-0.4289252019982572"
"2018","China","Lake Jennifer","-0.428779253962862"
"2012","Belize","Hernandezborough","-0.4284666996635767"
"2021","United Arab Emirates","Gutierrezfort","-0.4284239629694401"
"2017","Chad","Crystalstad","-0.4282960661042242"
"2015","Armenia","Brooksmouth","-0.4275681995311556"
"2002","New Caledonia","Leslieside","-0.4275551151549484"
"2001","American Samoa","West Lisa","-0.4271724164203942"
"2013","Belize","Moonburgh","-0.4260522777014799"
"2020","Palau","Lake Justin","-0.4260015013972968"
"2018","Guam","Castanedahaven","-0.4246619100966142"
"2018","Netherlands Antilles","West Allisonchester","-0.4242077792907981"
"2002","Puerto Rico","Christinaview","-0.4241575027033037"
"2021","Nauru","North Brandy","-0.4241477131982782"
"2016","Christmas Island","Jasonton","-0.4233400211795895"
"2009","Japan","Carterborough","-0.4222752191920487"
"2013","Jersey","New Michael","-0.4220603147841739"
"2009","Libyan Arab Jamahiriya","Josephfort","-0.4219762144208146"
"2016","Austria","North Tylerburgh","-0.4217839087505268"
